1,1,1
1.5,0,0.072949017
1.666666667,0.1,0.030056648
1.6,0.041666667,0.011145618
1.625,0.015384615,0.004305232
1.615384615,0.005952381,0.001637403
1.619047619,0.002262443,0.000626458
1.617647059,0.000865801,0.000239136
1.618181818,0.000330469,9.14E-05
1.617977528,0.000126263,3.49E-05
1.618055556,4.82E-05,1.33E-05
1.618025751,1.84E-05,5.09E-06
1.618037135,7.04E-06,1.94E-06
1.618032787,2.69E-06,7.43E-07
1.618034448,1.03E-06,2.84E-07
1.618033813,3.92E-07,1.08E-07
1.618034056,1.50E-07,4.14E-08
1.618033963,5.72E-08,1.58E-08
1.618033999,2.19E-08,6.04E-09
1.618033985,8.35E-09,2.31E-09
1.61803399,3.19E-09,8.81E-10
1.618033988,1.22E-09,3.37E-10
1.618033989,4.65E-10,1.29E-10
1.618033989,1.78E-10,4.91E-11
1.618033989,6.79E-11,1.88E-11
1.618033989,2.59E-11,7.16E-12
1.618033989,9.90E-12,2.74E-12
1.618033989,3.78E-12,1.05E-12
1.618033989,1.44E-12,3.99E-13
1.618033989,5.52E-13,1.52E-13
1.618033989,2.11E-13,5.82E-14
1.618033989,8.04E-14,2.22E-14
1.618033989,3.07E-14,8.51E-15
1.618033989,1.18E-14,3.29E-15
1.618033989,4.53E-15,1.24E-15
1.618033989,1.78E-15,5.49E-16
1.618033989,6.86E-16,1.37E-16
1.618033989,1.37E-16,0
